Date,Adj Close
2021-05-14,2316.159912109375
2021-05-17,2321.409912109375
2021-05-18,2303.429931640625
2021-05-19,2308.7099609375
2021-05-20,2356.090087890625
2021-05-21,2345.10009765625
2021-05-24,2406.669921875
2021-05-25,2409.070068359375
2021-05-26,2433.530029296875
2021-05-27,2402.510009765625
2021-05-28,2411.56005859375
2021-06-01,2429.81005859375
2021-06-02,2421.280029296875
2021-06-03,2404.610107421875
2021-06-04,2451.760009765625
2021-06-07,2466.090087890625
2021-06-08,2482.85009765625
2021-06-09,2491.39990234375
2021-06-10,2521.60009765625
2021-06-11,2513.929931640625
2021-06-14,2527.0400390625
2021-06-15,2520.659912109375
2021-06-16,2513.929931640625
2021-06-17,2527.419921875
2021-06-18,2511.35009765625
2021-06-21,2529.10009765625
2021-06-22,2539.989990234375
2021-06-23,2529.22998046875
2021-06-24,2545.639892578125
2021-06-25,2539.89990234375
2021-06-28,2536.389892578125
2021-06-29,2520.3701171875
2021-06-30,2506.320068359375
2021-07-01,2527.3701171875
2021-07-02,2574.3798828125
2021-07-06,2595.419921875
2021-07-07,2601.550048828125
2021-07-08,2583.5400390625
2021-07-09,2591.489990234375
2021-07-12,2611.280029296875
2021-07-13,2619.889892578125
2021-07-14,2641.64990234375
2021-07-15,2625.330078125
2021-07-16,2636.909912109375
2021-07-19,2585.080078125
2021-07-20,2622.030029296875
2021-07-21,2652.010009765625
2021-07-22,2666.570068359375
2021-07-23,2756.320068359375
2021-07-26,2792.889892578125
2021-07-27,2735.929931640625
2021-07-28,2727.6298828125
2021-07-29,2730.81005859375
2021-07-30,2704.419921875
2021-08-02,2719.7900390625
2021-08-03,2725.60009765625
2021-08-04,2720.570068359375
2021-08-05,2738.800048828125
2021-08-06,2740.719970703125
2021-08-09,2760.0400390625
2021-08-10,2761.929931640625
2021-08-11,2753.7900390625
2021-08-12,2767.7900390625
2021-08-13,2768.1201171875
2021-08-16,2778.320068359375
2021-08-17,2746.010009765625
2021-08-18,2731.39990234375
2021-08-19,2738.27001953125
2021-08-20,2768.739990234375
2021-08-23,2821.989990234375
2021-08-24,2847.969970703125
2021-08-25,2859.0
2021-08-26,2842.4599609375
2021-08-27,2891.010009765625
2021-08-30,2909.389892578125
2021-08-31,2909.239990234375
2021-09-01,2916.840087890625
2021-09-02,2884.3798828125
2021-09-03,2895.5
2021-09-07,2910.3798828125
2021-09-08,2897.669921875
2021-09-09,2898.27001953125
2021-09-10,2838.419921875
2021-09-13,2869.300048828125
2021-09-14,2868.1201171875
2021-09-15,2904.1201171875
2021-09-16,2887.469970703125
2021-09-17,2829.27001953125
2021-09-20,2780.340087890625
2021-09-21,2810.010009765625
